age,sleep_cycle,exercise_habits,climate_zone,historical_cuisine_exposure,preferred_taste
43,Night Owl,Moderate,Dry,Mediterranean,Sour
42,Early Bird,Heavy,Dry,Mixed,Salty
62,Night Owl,Heavy,Tropical,Mediterranean,Sweet
58,Irregular,,Cold,,Salty
46,Night Owl,Heavy,Tropical,Asian,Sweet
32,Night Owl,Moderate,Tropical,Mixed,Sweet
62,Irregular,Heavy,Cold,Mediterranean,Salty
18,Early Bird,Light,Tropical,Asian,Spicy
42,Early Bird,,Dry,Asian,Sour
24,Night Owl,Moderate,Dry,Mediterranean,Sweet
26,Irregular,Light,Cold,Asian,Sweet
41,Night Owl,Moderate,Cold,Mixed,Sour
18,Night Owl,Light,Cold,Mixed,Sweet
61,Night Owl,Heavy,Dry,Mediterranean,Sour
25,Irregular,Light,Cold,Mixed,Sweet
41,Irregular,Light,Tropical,Mediterranean,Sweet
28,Early Bird,Moderate,Tropical,Asian,Sweet
68,Irregular,Heavy,Temperate,Mixed,Salty
34,Night Owl,,Temperate,Mediterranean,Sweet
25,Night Owl,Heavy,Cold,Mixed,Sweet
52,Early Bird,,Temperate,Asian,Sweet
,Irregular,Moderate,Dry,Asian,Sour
50,Night Owl,Light,Dry,Mixed,Sweet
,Early Bird,Light,Tropical,,Spicy
59,Early Bird,Heavy,Tropical,Mediterranean,Sour
56,Night Owl,Light,Temperate,Mixed,Sweet
58,Night Owl,Moderate,Temperate,Mixed,Sour
45,Irregular,,Dry,Asian,Sour
24,Early Bird,Light,Tropical,Mediterranean,Sweet
26,Night Owl,Light,Temperate,Mixed,Sweet
,Early Bird,Heavy,Dry,Mixed,Sour
29,Irregular,Heavy,Tropical,Asian,Sweet
51,Night Owl,Moderate,Dry,Asian,Sweet
50,Irregular,,Dry,Mediterranean,Salty
65,,Light,Tropical,Mediterranean,Sweet
40,Irregular,Moderate,,Asian,Sour
41,Irregular,Heavy,Temperate,Mediterranean,Salty
54,Early Bird,Moderate,Dry,,Sour
,Irregular,Light,Temperate,Mixed,Sour
61,Early Bird,Heavy,Cold,Asian,Sour
57,Night Owl,,Cold,,Sweet
39,,Light,Cold,Asian,Sweet
44,Early Bird,Moderate,,Mixed,Salty
,Night Owl,Moderate,Cold,Mediterranean,Sour
18,Early Bird,Moderate,Cold,Mediterranean,Sour
52,Night Owl,Heavy,Dry,Mediterranean,Sour
,Night Owl,Heavy,Tropical,Asian,Sweet
,Early Bird,Moderate,Dry,Asian,Sour
31,Irregular,Heavy,Temperate,Mediterranean,Salty
20,Irregular,Heavy,Dry,Mixed,Sour
18,Night Owl,Moderate,Tropical,Mixed,Sweet
22,Irregular,Light,Cold,Mixed,Sweet
43,Irregular,Heavy,Dry,Mixed,Salty
31,Early Bird,,Cold,Asian,Sour
56,Night Owl,Light,Temperate,Mediterranean,Sweet
44,Night Owl,Light,Tropical,Mixed,Sweet
26,Early Bird,Light,Cold,Asian,Sweet
32,Irregular,Moderate,Cold,Asian,Sour
32,Night Owl,,Cold,Asian,Sweet
43,Irregular,Moderate,Cold,Mediterranean,Salty
59,Night Owl,Light,Dry,Asian,Sweet
30,Night Owl,Light,Tropical,Mediterranean,Spicy
68,Night Owl,Moderate,Tropical,Mediterranean,Sweet
49,Night Owl,Moderate,Cold,Mediterranean,Sour
56,Irregular,Light,Tropical,Mediterranean,Sweet
66,Irregular,Light,,Asian,Sweet
69,Irregular,Light,Temperate,Asian,Sweet
49,Irregular,Heavy,Temperate,Asian,Sour
,Early Bird,Light,Temperate,Mixed,Sweet
47,Night Owl,Moderate,Tropical,Mixed,Sweet
54,,Heavy,,Mediterranean,Sour
40,Night Owl,Moderate,Dry,Mediterranean,Sour
56,Early Bird,Heavy,Dry,Mediterranean,Salty
62,Irregular,Heavy,Temperate,Mediterranean,Salty
32,Night Owl,,Temperate,,Sour
60,Irregular,,Tropical,Mixed,Sour
46,Irregular,Moderate,Dry,Mediterranean,Salty
53,Early Bird,Light,Tropical,Asian,Sweet
30,Early Bird,Heavy,Temperate,Mediterranean,Sour
49,Irregular,Moderate,Cold,Asian,Sour
24,Night Owl,Heavy,Cold,Asian,Sweet
68,,Moderate,Cold,Asian,Sweet
39,Early Bird,Light,Temperate,Asian,Sweet
45,Early Bird,Light,Tropical,Mediterranean,Sweet
19,Early Bird,Heavy,Cold,Mediterranean,Sour
59,Early Bird,Heavy,Dry,Mediterranean,Salty
62,Early Bird,Moderate,Dry,Mediterranean,Salty
23,Early Bird,Moderate,Temperate,Mediterranean,Sour
45,Early Bird,Heavy,Dry,,Salty
45,Night Owl,Moderate,Dry,Asian,Sweet
61,Early Bird,Moderate,Temperate,Asian,Sour
61,Early Bird,Moderate,Tropical,Mixed,Sour
37,Night Owl,Heavy,Cold,Mixed,Sour
47,Night Owl,Light,Temperate,Mediterranean,Sweet
28,Irregular,,Dry,Mediterranean,Sweet
45,Early Bird,Moderate,Cold,Asian,Sour
42,Early Bird,Heavy,Cold,Mediterranean,Salty
56,Early Bird,Moderate,Cold,Asian,Sour
,Early Bird,Light,Temperate,Mediterranean,Sour
18,Irregular,Moderate,Cold,,Sour
44,Night Owl,Light,Tropical,Asian,Spicy
69,Night Owl,Heavy,Dry,,Sour
30,,,Temperate,Mixed,Sour
58,,Heavy,Temperate,Mediterranean,Salty
20,Early Bird,Moderate,Cold,Mixed,Sour
,Irregular,Moderate,Dry,Mediterranean,Salty
23,Irregular,Moderate,Cold,Mixed,Sour
25,Night Owl,Moderate,Cold,Mixed,Sweet
44,Early Bird,Moderate,Temperate,Asian,Sour
26,Early Bird,Heavy,Tropical,Mixed,Sweet
54,Early Bird,Heavy,Dry,Mediterranean,Salty
,Early Bird,Light,Dry,Asian,Sweet
68,Irregular,Moderate,Dry,Mixed,Salty
59,Night Owl,Light,Dry,Asian,Sweet
61,Night Owl,Heavy,Tropical,Mixed,Sweet
41,Irregular,Light,Temperate,Mediterranean,Sour
32,Early Bird,Heavy,Tropical,Mediterranean,Sour
49,Night Owl,Moderate,Cold,Asian,Sweet
,Night Owl,Light,Temperate,Mixed,Sweet
41,Irregular,Light,Tropical,Mixed,Sweet
58,Early Bird,Light,Dry,Asian,Sweet
69,Night Owl,Light,Dry,Asian,Sweet
66,Early Bird,Moderate,Temperate,Mediterranean,Salty
66,Night Owl,Heavy,Tropical,Asian,Sweet
69,Irregular,Heavy,Temperate,Mixed,Salty
29,Early Bird,Moderate,Dry,,Sweet
56,Irregular,Heavy,Tropical,Mediterranean,Sour
,Night Owl,,Dry,Asian,Spicy
20,Irregular,Moderate,Temperate,Mixed,Sour
66,Irregular,Heavy,Temperate,Asian,Sour
54,Irregular,Moderate,Temperate,Asian,Sour
,Night Owl,Moderate,Temperate,,Sweet
34,Early Bird,Heavy,Temperate,Mediterranean,Salty
66,Irregular,Heavy,Cold,Mediterranean,Salty
19,,Moderate,Temperate,Mediterranean,Sour
19,Night Owl,Moderate,Temperate,Mediterranean,Sweet
45,Early Bird,Heavy,Dry,Mixed,Salty
40,Irregular,Moderate,Temperate,Mixed,Salty
54,Irregular,Heavy,Tropical,Mediterranean,Sour
49,Irregular,Moderate,Temperate,Mediterranean,Salty
50,Irregular,Moderate,Cold,Mediterranean,Salty
18,Irregular,Moderate,Temperate,Asian,Sweet
36,Irregular,Heavy,Dry,Mixed,Salty
19,Night Owl,Light,Tropical,Asian,Spicy
61,Night Owl,Heavy,Tropical,Mediterranean,Sweet
43,Night Owl,Moderate,Temperate,Mixed,Sour
49,Early Bird,Light,Temperate,Mediterranean,Sour
23,Early Bird,Light,Temperate,Asian,Sweet
49,Night Owl,Moderate,Temperate,Mixed,Sour
21,Early Bird,Heavy,Dry,Asian,Sweet
28,Early Bird,Light,Dry,Mixed,Sweet
,Irregular,Light,Tropical,Mediterranean,Sweet
55,Irregular,Heavy,Temperate,Mixed,Salty
41,Early Bird,Heavy,Dry,Asian,Sour
22,Early Bird,Light,Dry,Asian,Sweet
69,Night Owl,Heavy,Tropical,Asian,Sweet
51,Early Bird,Light,Tropical,Asian,Sweet
23,,Moderate,,Mediterranean,Sour
39,Early Bird,,Dry,Asian,Sour
28,,Light,Tropical,Mediterranean,Spicy
65,Irregular,,Dry,,Salty
33,Irregular,Heavy,,Asian,Sour
50,Irregular,Light,Temperate,Mixed,Sour
26,Irregular,Moderate,Temperate,Mixed,Sour
23,Early Bird,Light,Temperate,Mediterranean,Sweet
33,Night Owl,Heavy,Temperate,Asian,Sweet
46,Early Bird,Light,Dry,Mediterranean,Sour
20,Early Bird,Heavy,Cold,Asian,Sweet
37,Irregular,Light,Cold,Mixed,Sour
53,Night Owl,Moderate,Cold,Mediterranean,Sour
36,Irregular,Moderate,Dry,Asian,Sour
43,Early Bird,Moderate,Cold,Mixed,Salty
20,Early Bird,Moderate,Dry,Mediterranean,Sour
36,Irregular,Light,Tropical,Mediterranean,Sweet
,Early Bird,,Cold,Mediterranean,Salty
49,Early Bird,,Dry,Mediterranean,Sour
24,Irregular,Heavy,Tropical,,Sweet
69,,Heavy,Temperate,Mixed,Salty
58,Night Owl,Heavy,Tropical,Mixed,Sweet
50,,Moderate,Tropical,Mixed,Sour
57,Night Owl,Moderate,Cold,Asian,Sweet
56,Early Bird,Moderate,Temperate,Mixed,Salty
35,Early Bird,Heavy,Temperate,Mediterranean,Salty
57,Irregular,Heavy,Cold,Mediterranean,Salty
18,Early Bird,Heavy,Tropical,,Sweet
28,Irregular,Heavy,Dry,Mediterranean,Sour
45,Irregular,Light,,Asian,Sweet
42,Irregular,Light,,Mediterranean,Sweet
67,Irregular,Moderate,Dry,Mediterranean,Salty
40,Irregular,Moderate,Cold,Mediterranean,Salty
48,Night Owl,Heavy,Cold,Mixed,Sour
,Irregular,Light,Temperate,Mixed,Sour
59,Night Owl,Light,Temperate,Asian,Sweet
52,Early Bird,Moderate,Temperate,Asian,Sour
,Irregular,Light,Dry,Asian,Sweet
33,Early Bird,Moderate,Cold,Mediterranean,Salty
43,Irregular,Heavy,Temperate,Asian,Sour
65,Night Owl,Heavy,Temperate,Mixed,Sour
69,Night Owl,Moderate,Cold,Mixed,Sour
66,Night Owl,Heavy,Dry,Mixed,Sour
19,Early Bird,Heavy,Temperate,Mediterranean,Sour
18,Irregular,,Tropical,Mediterranean,Sweet
65,Early Bird,Light,Dry,Asian,Sweet
29,Night Owl,Light,Temperate,Asian,Spicy
22,Early Bird,Light,Tropical,Asian,Spicy
54,Night Owl,Light,Temperate,Asian,Sweet
49,Night Owl,Moderate,Dry,Mediterranean,Sour
26,Night Owl,Moderate,,Mixed,Sweet
,Irregular,Light,Cold,Mediterranean,Sour
52,Irregular,Heavy,Dry,Asian,Sour
36,Night Owl,Heavy,Temperate,,Sour
65,,Moderate,Dry,Mixed,Salty
33,Early Bird,Moderate,,Mediterranean,Sour
20,Irregular,Moderate,Temperate,Mixed,Sour
37,Night Owl,Heavy,Dry,Asian,Sweet
41,Early Bird,Moderate,Cold,Mediterranean,Salty
50,Night Owl,Heavy,Dry,Asian,Sweet
41,Early Bird,Moderate,Temperate,Asian,Sour
69,Irregular,Heavy,Dry,Mixed,Salty
28,Night Owl,Moderate,,Mixed,Sweet
66,Night Owl,Moderate,Tropical,Asian,Sweet
25,Early Bird,Heavy,Dry,Mixed,Sour
53,Early Bird,Moderate,Dry,Mixed,Salty
55,Early Bird,Light,Tropical,Asian,Sweet
57,Night Owl,Heavy,Dry,Asian,Sweet
37,Irregular,Moderate,Cold,Mixed,Salty
52,Irregular,Heavy,Tropical,Asian,Sweet
65,Early Bird,Moderate,Cold,Asian,Sour
42,Irregular,Light,Cold,Mixed,Sour
52,Early Bird,Moderate,,Mediterranean,Salty
42,Irregular,Moderate,Temperate,Mediterranean,Salty
46,Night Owl,Light,Tropical,Asian,Spicy
35,,Heavy,Temperate,,Salty
,Irregular,,Temperate,,Sour
35,Night Owl,Moderate,Dry,Mixed,Sour
19,Irregular,Light,Tropical,Asian,Spicy
52,Night Owl,Heavy,Dry,Asian,Sweet
33,Night Owl,Heavy,Temperate,Mixed,Sour
58,,Light,Dry,Asian,Sweet
53,Irregular,Light,,Mediterranean,Sour
,Night Owl,Moderate,Temperate,Mediterranean,Sour
21,Night Owl,Light,Cold,Mixed,Sweet
50,Night Owl,Light,Tropical,Asian,Spicy
,Early Bird,Light,Dry,Mediterranean,Sour
38,Night Owl,Heavy,Temperate,Mixed,Sour
65,Early Bird,Light,Tropical,Mixed,Sweet
37,Night Owl,Moderate,Cold,Mixed,Sour
25,Early Bird,Moderate,Dry,,Sour
24,Night Owl,Moderate,Dry,Mediterranean,Sweet
20,Night Owl,Light,Temperate,Mediterranean,Sweet
34,Night Owl,Heavy,Dry,Mediterranean,Sour
,Irregular,Light,Dry,Asian,Sweet
65,Irregular,Light,Cold,Mediterranean,Sour
,Night Owl,Moderate,Cold,Mixed,Sweet
68,Early Bird,Light,Cold,Asian,Sweet
39,Early Bird,Heavy,Tropical,Mediterranean,Sour
39,Night Owl,Moderate,Tropical,Asian,Sweet
63,Irregular,,Dry,Mixed,Salty
47,Early Bird,Heavy,Tropical,Mediterranean,Sour
55,Irregular,Heavy,Temperate,Asian,Sour
55,Early Bird,Light,Cold,Mediterranean,Sour
62,Night Owl,Light,Tropical,,Spicy
68,Irregular,Light,Dry,Asian,Sweet
25,Early Bird,,Cold,Mixed,Sweet
44,Night Owl,Moderate,Tropical,Mixed,Sweet
44,Night Owl,Light,Cold,,Sweet
51,Night Owl,Moderate,Tropical,Mediterranean,Sweet
38,Irregular,Heavy,Dry,Asian,Sour
47,Irregular,Moderate,Tropical,Mixed,Sour
50,Night Owl,Light,Tropical,Mixed,Sweet
45,Irregular,Moderate,Tropical,Asian,Sweet
,Early Bird,Light,Cold,Mixed,Sour
50,,Light,Tropical,Mixed,Sweet
22,Night Owl,Moderate,Tropical,Asian,Spicy
65,Irregular,Moderate,Tropical,Mediterranean,Sour
,Night Owl,Heavy,Cold,Mediterranean,Sour
21,Early Bird,Heavy,Dry,Mediterranean,Sour
52,Irregular,Heavy,Dry,Asian,Sour
66,Irregular,,Dry,Mediterranean,Salty
34,Night Owl,Heavy,Tropical,Asian,Sweet
61,Night Owl,Moderate,Cold,Asian,Sweet
45,Night Owl,Heavy,,Mixed,Sour
47,Irregular,Moderate,Dry,Mixed,Salty
46,Night Owl,Heavy,Dry,Mediterranean,Sour
63,Early Bird,Light,Temperate,Asian,Sweet
,Night Owl,Heavy,Cold,Mediterranean,Sweet
,Night Owl,Light,Temperate,Mediterranean,Sweet
,Irregular,Moderate,Tropical,Mixed,Sour
,Night Owl,Heavy,,Mediterranean,Sour
41,Irregular,Moderate,Tropical,Mediterranean,Sour
46,Night Owl,Heavy,Cold,Mixed,Sour
66,Early Bird,Moderate,Tropical,,Sour
63,Early Bird,Heavy,Tropical,Mediterranean,Sour
48,Irregular,Heavy,Dry,Asian,Sour
52,Irregular,Light,Cold,Mediterranean,Sour
50,Night Owl,Moderate,Tropical,,Sweet
69,Night Owl,,Temperate,Mixed,Sour
38,Early Bird,Moderate,Dry,Asian,Sour
49,Night Owl,Moderate,Temperate,Mixed,Sour
40,Early Bird,Moderate,Dry,Mixed,Salty
50,Irregular,Light,Tropical,Mixed,Sweet
20,Night Owl,Heavy,Dry,Mediterranean,Sweet
35,Irregular,Light,Tropical,Asian,Sweet
42,Night Owl,,Temperate,Asian,Sweet
59,Early Bird,Moderate,Tropical,Asian,Sweet
48,Irregular,Heavy,Dry,Asian,Sour
20,Irregular,Light,Dry,,Sweet
,Night Owl,Heavy,Dry,Mediterranean,Sour
63,Irregular,Heavy,,Mixed,Salty
41,Early Bird,Light,Cold,Mixed,Sour
67,Irregular,Heavy,Temperate,Mixed,Salty
49,Irregular,Light,Tropical,Mixed,Sweet
64,Night Owl,Light,Tropical,Asian,Spicy
39,Irregular,Moderate,Temperate,Asian,Sour
40,Night Owl,Heavy,Temperate,Mediterranean,Sour
19,Night Owl,Moderate,Tropical,Mixed,Sweet
,Irregular,,Tropical,Asian,Sweet
59,Early Bird,Heavy,Tropical,Mediterranean,Sour
19,Night Owl,Moderate,Cold,Mixed,Sweet
43,Irregular,,Cold,Mixed,Salty
34,Night Owl,,Temperate,Asian,Sweet
57,Early Bird,Light,Temperate,Mixed,Sour
50,Early Bird,Heavy,Cold,Mixed,Salty
26,Night Owl,,Dry,Asian,Spicy
60,,Heavy,Cold,Mediterranean,Salty
65,Irregular,Heavy,,Mediterranean,Salty
56,Irregular,Light,Cold,Asian,Sweet
46,Night Owl,Light,Dry,Asian,Sweet
59,Early Bird,Heavy,Temperate,Mediterranean,Salty
43,Irregular,Moderate,,Mediterranean,Sour
52,,Moderate,Temperate,Asian,Sour
67,Irregular,Moderate,Cold,Asian,Sour
,,Moderate,Cold,Asian,Sweet
41,Night Owl,,Dry,Mixed,Sour
30,Irregular,Moderate,Cold,Asian,Sweet
,Irregular,Moderate,Dry,Mixed,Sour
,Early Bird,Moderate,Temperate,Mediterranean,Salty
62,Early Bird,Heavy,Cold,Mediterranean,Salty
37,Early Bird,Light,Temperate,Asian,Sweet
18,Night Owl,Moderate,Tropical,Asian,Spicy
25,Irregular,Heavy,Tropical,Mediterranean,Sweet
63,Night Owl,Heavy,Dry,Mediterranean,Sour
33,Irregular,Moderate,,Mediterranean,Salty
31,Early Bird,,Temperate,Mediterranean,Sour
,,Light,,Asian,Sweet
68,Early Bird,Light,Cold,Mixed,Sour
40,Early Bird,Heavy,Temperate,Mediterranean,Salty
32,,Moderate,Cold,Mediterranean,Salty
45,Early Bird,Moderate,Cold,Mixed,Salty
51,Irregular,Heavy,Tropical,Asian,Sweet
19,Irregular,Moderate,Cold,Mixed,Sour
49,Night Owl,Moderate,Temperate,Asian,Sweet
40,Early Bird,,Cold,Asian,Sweet
39,Early Bird,Moderate,Tropical,Asian,Sweet
68,Night Owl,Moderate,Tropical,Asian,Sweet
42,Irregular,Heavy,Dry,Asian,Sour
39,Early Bird,Heavy,Temperate,Mediterranean,Salty
39,Irregular,Light,Cold,Asian,Sweet
66,Night Owl,Heavy,Temperate,Mediterranean,Sour
69,Irregular,Light,Temperate,,Sweet
,Early Bird,,Cold,Mediterranean,Sour
23,Irregular,Moderate,Tropical,Mixed,Sweet
32,Irregular,Light,Temperate,Mixed,Sour
60,Early Bird,Moderate,Dry,Mediterranean,Salty
54,Early Bird,Light,Temperate,Asian,Sweet
50,Irregular,Heavy,Tropical,Mediterranean,Sour
25,Irregular,Heavy,Dry,,Sour
61,Night Owl,Heavy,Dry,Asian,Sweet
,Early Bird,Light,Dry,Mixed,Sour
22,Irregular,Light,Dry,Mediterranean,Sweet
56,Early Bird,Moderate,Cold,Mixed,Salty
21,Night Owl,Moderate,Cold,Mixed,Sweet
23,Irregular,Moderate,Cold,Mixed,Sour
62,Irregular,Moderate,Dry,Mediterranean,Salty
49,Irregular,Light,Tropical,Mediterranean,Sweet
69,Early Bird,Light,Temperate,Asian,Sweet
47,Night Owl,Moderate,Dry,Asian,Sweet
64,Early Bird,Light,Tropical,,Sweet
52,Irregular,Light,Temperate,Asian,Sweet
57,Night Owl,Light,Dry,Mixed,Sweet
69,,Light,Temperate,,Sour
33,Irregular,,Cold,Mediterranean,Salty
,Early Bird,Moderate,Cold,Mixed,Sour
67,Irregular,Light,Cold,Mediterranean,Sour
59,Night Owl,Heavy,Tropical,Mediterranean,Sweet
47,Irregular,Moderate,Cold,Mediterranean,Salty
36,Irregular,Moderate,Tropical,Mixed,Sour
34,,Heavy,Cold,Mediterranean,Salty
36,Night Owl,Moderate,Cold,Mediterranean,Sour
45,,Heavy,Cold,Asian,Sour
43,Irregular,Heavy,Tropical,Mixed,Sour
54,Early Bird,Light,Temperate,Mediterranean,Sour
43,Early Bird,Moderate,Tropical,Asian,Sweet
40,Early Bird,,Dry,Mediterranean,Salty
26,Early Bird,Light,Dry,,Sweet
29,Irregular,Moderate,Tropical,Asian,Sweet
,Irregular,Light,,Asian,Spicy
18,Night Owl,Light,,Mediterranean,Sweet
64,Early Bird,Heavy,Tropical,Mediterranean,Sour
51,,Moderate,Cold,Mixed,Salty
49,,,Temperate,Mixed,Sweet
65,Early Bird,Heavy,Tropical,Mediterranean,Sour
42,Night Owl,,Tropical,Asian,Sweet
57,Irregular,Light,Dry,Mixed,Sour
62,Night Owl,Light,Temperate,Mixed,Sweet
18,Early Bird,Heavy,Dry,Asian,Sweet
33,Night Owl,Light,Tropical,Mediterranean,Sweet
56,Irregular,Light,Temperate,Mixed,Sour
22,Early Bird,Moderate,Cold,,Sweet
39,Irregular,Heavy,Tropical,Mixed,Sour
46,Irregular,Light,Tropical,Asian,Sweet
20,Night Owl,Heavy,Dry,Mixed,Sweet
29,Irregular,Moderate,Cold,Mediterranean,Sour
43,,Heavy,Tropical,Asian,Sweet
33,Irregular,Heavy,Dry,,Salty
68,Irregular,Heavy,Dry,Mixed,Salty
54,Night Owl,Moderate,Tropical,Asian,Sweet
39,Irregular,Moderate,Temperate,Asian,Sour
46,Night Owl,Heavy,Tropical,Mediterranean,Sweet
31,Night Owl,Heavy,Cold,Asian,Sweet
45,Early Bird,Moderate,Tropical,Mixed,Sour
22,Early Bird,Light,Temperate,Mediterranean,Sweet
64,Early Bird,Moderate,Dry,Asian,Sour
,Early Bird,Heavy,Cold,Mixed,Salty
47,Night Owl,Light,Cold,Asian,Sweet
63,Irregular,Light,,Mixed,Sour
69,Early Bird,Light,Cold,,Sour
22,Early Bird,Moderate,Temperate,Mediterranean,Sour
29,Early Bird,Moderate,Temperate,Mediterranean,Sour
33,Irregular,Moderate,Temperate,Asian,Sour
43,Early Bird,Moderate,Temperate,Mediterranean,Salty
43,Irregular,Heavy,Dry,Asian,Sour
65,Night Owl,Light,Tropical,Mediterranean,Sweet
38,Night Owl,Heavy,Temperate,Mediterranean,Sour
56,Night Owl,Moderate,Tropical,Asian,Sweet
53,,Moderate,Cold,Mediterranean,Salty
,Early Bird,Heavy,Dry,Mediterranean,Salty
47,Early Bird,Light,Dry,Mediterranean,Sour
54,Early Bird,Light,Tropical,Mediterranean,Sweet
40,Early Bird,Moderate,Tropical,Asian,Sweet
27,Early Bird,Moderate,Tropical,Mixed,Sweet
22,Irregular,Moderate,Dry,Asian,Sweet
53,Night Owl,Moderate,,Asian,Sweet
51,Early Bird,,Dry,Asian,Sweet
69,Night Owl,Heavy,Temperate,Mediterranean,Sour
48,Irregular,Light,Cold,Mediterranean,Sour
27,,Heavy,Temperate,Mixed,Sour
36,Early Bird,Moderate,Tropical,Mediterranean,Sour
49,Irregular,Moderate,Temperate,Mixed,Salty
,Night Owl,Heavy,Temperate,Mixed,Sweet
22,Early Bird,,Dry,Mediterranean,Sour
62,Early Bird,Light,Tropical,Mixed,Sweet
21,Night Owl,Moderate,Cold,Asian,Sweet
33,Early Bird,Moderate,Temperate,Asian,Sour
,Early Bird,Moderate,Cold,Asian,Sour
33,Night Owl,Moderate,Tropical,Mixed,Sweet
19,Early Bird,Light,Temperate,Mixed,Sweet
66,Early Bird,Heavy,Dry,Asian,Sour
